Unnamed: 0,Unnamed: 1,Prices are per MBF or 1000 board feet,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Grade,ItemDescription,TransactionDate,West,Central,East,SortID
#3,2x12 #3,2024-10-04,240,255,245,11
#3,2x12 #3,2024-10-11,245,260,250,11
#3,2x12 #3,2024-10-18,255,260,250,11
#3,2x12 #3,2024-10-25,265,260,265,11
#3,2x12 #3,2024-11-01,275,260,275,11
#3,2x12 #3,2024-11-08,275,260,275,11
#3,2x12 #3,2024-11-15,275,260,275,11
#3,2x12 #3,2024-11-22,265,255,270,11
#3,2x12 #3,2024-11-27,260,250,265,11
#3,2x12 #3,2024-12-06,260,245,265,11
#3,2x12 #3,2024-12-13,255,245,265,11
#3,2x12 #3,2024-12-20,255,245,265,11
#3,2x12 #3,2025-01-03,260,245,270,11
#3,2x12 #3,2025-01-10,260,245,270,11
#3,2x12 #3,2025-01-17,260,245,270,11
#3,2x12 #3,2025-01-24,260,245,270,11
#3,2x12 #3,2025-01-31,260,250,270,11
