Lane,Loads,AvgDaysToShip,AvgCostPerMile,MilesAvg
"PINELAND, TX → MT PLEASANT, TX",2,3.5,5.061349693251534,163.0
"BIRMINGHAM, AL → WALNUT, MS",2,11.0,5.060975609756097,205.0
"DODSON, LA → HENDERSON, TX",8,13.5,5.056179775280899,178.0
"BIRMINGHAM, AL → TUSCUMBIA, AL",5,3.8,5.051801801801801,111.0
"ATOKA, OK → DALLAS, TX",3,1.0,5.049382716049383,135.0
"ACKERMAN, MS → HALEYVILLE, AL",1,1.0,5.037037037037037,135.0
"MOUNDVILLE, AL → IUKA, MS",2,1.0,5.0304878048780495,164.0
"MILLPORT, AL → BOLIVAR, TN",1,1.0,5.027932960893855,179.0
"LIVINGSTON, TX → BROOKELAND, TX",1,1.0,5.026315789473684,76.0
"ACKERMAN, MS → OLIVE BRANCH, MS",1,1.0,5.0,153.0
"DIERKS, AR → BONHAM, TX",9,4.666666666666667,4.989711934156379,162.0
"DIBOLL, TX → BRYAN, TX",7,3.0,4.987372448979592,138.28571428571428
"POLLOK, TX → BRYAN, TX",3,3.3333333333333335,4.9590163934426235,122.0
"BRYAN, TX → HOUSTON, TX",107,3.4299065420560746,4.957671558358851,111.8411214953271
"DIERKS, AR → DENTON, TX",3,11.0,4.938271604938271,243.0
"POLLOK, TX → ENNIS, TX",1,3.0,4.929577464788732,142.0
"COLUMBUS, MS → FLINTVILLE, TN",1,4.0,4.926108374384237,203.0
"THOMASVILLE, AL → COLUMBUS, MS",2,5.5,4.918699186991869,123.0
"ACKERMAN, MS → SELMER, TN",5,3.0,4.909316770186336,161.0
"CAMDEN, TX → WASKOM, TX",1,2.0,4.895104895104895,143.0
"PHILADELPHIA, MS → OLIVE BRANCH, MS",1,6.0,4.891304347826087,184.0
"OLLA, LA → PORT NECHES, TX",2,9.5,4.888059701492537,201.0
"BRYAN, TX → MABANK, TX",9,3.4444444444444446,4.882677708764664,161.0
"DIBOLL, TX → PORT NECHES, TX",5,3.2,4.8826446280991735,121.0
"OLLA, LA → WASKOM, TX",2,11.0,4.881656804733728,169.0
"MANSFIELD, AR → STEPHENS, AR",2,2.5,4.881656804733728,169.0
"MERIDIAN, MS → BIRMINGHAM, AL",12,1.3333333333333333,4.88124193548387,155.0
"ACKERMAN, MS → MONTGOMERY, AL",1,0.0,4.880382775119617,209.0
"DIBOLL, TX → HOUSTON, TX",14,2.7142857142857144,4.879285572429856,118.14285714285714
"GRAYSON, AL → MEMPHIS, TN",1,1.0,4.871794871794871,195.0
"CAMDEN, TX → BELLVILLE, TX",2,5.5,4.869718309859155,142.0
"FAIRFAX, SC → WELLFORD, SC",1,7.0,4.864864864864865,185.0
"BIRMINGHAM, AL → SMYRNA, TN",3,5.0,4.861111111111111,192.0
"FULTON, AL → BIRMINGHAM, AL",2,1.5,4.8575949367088604,158.0
"MILLPORT, AL → OLIVE BRANCH, MS",1,1.0,4.857142857142857,175.0
"NACOGDOCHES, TX → BRYAN, TX",5,3.6,4.856115107913669,139.0
"CAMDEN, TX → BRYAN, TX",1,3.0,4.850746268656716,134.0
"TAYLOR, LA → MOUNT PLEASANT, TX",1,4.0,4.8355263157894735,152.0
"VIOLA, AR → MALVERN, AR",2,2.5,4.8316831683168315,202.0
"BIRMINGHAM, AL → LA VERGNE, TN",1,1.0,4.822335025380711,197.0
"IDABEL, OK → DENTON, TX",4,5.75,4.821428571428571,175.0
"GURDON, AR → HUTCHINS, TX",2,1.0,4.817813765182186,247.0
"DUDLEY, NC → RIDGEWAY, VA",2,5.5,4.817415730337078,178.0
