mill,product,count
"Homan Forest Products Corporate, Inc (Fulton, MS)",4x6 | #2 | 12ft,12
"Homan Forest Products Corporate, Inc (Fulton, MS)",6x6 | #2 | 16ft,8
"Homan Forest Products Corporate, Inc (Fulton, MS)",4x6 | #2 | 14ft,5
"Homan Forest Products Corporate, Inc (Fulton, MS)",4x6 | #2 | 8ft,5
"Homan Forest Products Corporate, Inc (Fulton, MS)",6x6 | #2 | 20ft,5
"Homan Forest Products Corporate, Inc (Fulton, MS)",6x6 | #2 | 8ft,1
"Hood Industries, Inc (Waynesboro, MS)",2x12 | #2 | 8ft,1
"Hood Industries, Inc. (Bogalusa, LA)",2x4 | #2 | 12ft,7
"Hood Industries, Inc. (Bogalusa, LA)",2x8 | #2 | 10ft,7
"Hood Industries, Inc. (Bogalusa, LA)",2x8 | #2 | 12ft,7
"Hood Industries, Inc. (Bogalusa, LA)",2x8 | #2 | 8ft,5
"Hood Industries, Inc. (Bogalusa, LA)",2x4 | #2 | 14ft,2
"Hood Industries, Inc. (Bogalusa, LA)",2x8 | #2 | 16ft,2
"Hood Industries, Inc. (Bogalusa, LA)",2x4 | #1 | 20ft,1
"Hood Industries, Inc. (Bogalusa, LA)",2x4 | #2 | 18ft,1
"Hood Industries, Inc. (Bogalusa, LA)",2x6 | #1 | 12ft,1
"Hood Industries, Inc. (Bogalusa, LA)",2x6 | #1 | 16ft,1
"Hood Industries, Inc. (Bogalusa, LA)",2x6 | #1 | 20ft,1
"Hood Industries, Inc. (Bogalusa, LA)",2x6 | #2 | 10ft,1
"Hood Industries, Inc. (Bogalusa, LA)",2x6 | #2 | 20ft,1
"Hood Industries, Inc. (Silver Creek, MS)",2x8 | #2 | 12ft,6
"Hood Industries, Inc. (Silver Creek, MS)",2x6 | #2 | 10ft,3
"Hood Industries, Inc. (Silver Creek, MS)",4x4 | #2 | 12ft,3
"Hood Industries, Inc. (Silver Creek, MS)",2x6 | #2 | 8ft,2
